Title,Rating,Review
Brilliant,5,"This is an amazing camera to begin with. Even with kit lens, photos are amazingREAD MORE"
Super!,5,Loving it day by day ❤️❤️READ MORE
Simply awesome,5,Excellent Camera for learners......READ MORE
Perfect product!,5,One of the best camREAD MORE
Classy product,5,Nice oneREAD MORE
Best in the market!,5,"wow wow wow....as expected with this you should need converter 24mm prime ,50mm prime, and 10 18 wide angel and you are readyREAD MORE"
Terrific purchase,5,Excellent mirrorless camera for a beginnerREAD MORE
Highly recommended,5,good camera canon m50 mark iiREAD MORE
Just wow!,5,After long wait I have got the beauty in my hand.. 👍🏽👍🏽yet to be reviewed..READ MORE
Terrific purchase,5,"See the images and you decide, the pics in night is so awesome i am in love with this m50. I bought this camera mainly for astography, getting used to it ull be amazed with it's result. Just buy itREAD MORE"
